TransactionId,UserId,VisitYear,VisitMonth,VisitMode,AttractionId,Rating,VisitModeName,ContinentId,RegionId,CountryId,CityId,UserCityName,UserCountry,UserRegion,UserContinent,AttractionCityId,AttractionTypeId,Attraction,AttractionAddress,AttractionCityName,AttractionCountryId,AttractionCountry,AttractionType,user_total_visits,user_avg_rating,attraction_total_visits,attraction_avg_rating
109129,71436,2015,3,2,737,5,Couples,3,13,93,2819.0,Mumbai,India,South Asia,Asia,1,76,Tanah Lot Temple,"Kecamatan Kediri, Kabupaten Tabanan, Beraban 82121 Indonesia",Douala,1,Cameroon,Religious Sites,2,5.0,3352,4.19480906921241
18560,66061,2019,5,3,640,3,Family,3,13,93,2690.0,Bengaluru,India,South Asia,Asia,1,63,Sacred Monkey Forest Sanctuary,"Jl. Monkey Forest, Ubud 80571 Indonesia",Douala,1,Cameroon,Nature & Wildlife Areas,3,3.0,13198,4.267085922109411
68635,61267,2019,11,2,748,5,Couples,3,13,93,2748.0,India,India,South Asia,Asia,1,72,Tegalalang Rice Terrace,"Jalan Raya Ceking, Tegalalang 80517 Indonesia",Douala,1,Cameroon,Points of Interest & Landmarks,1,5.0,5815,4.157523645743766
47257,82417,2019,7,3,824,2,Family,5,21,163,8258.0,Edinburgh,United Kingdom,Western Europe,Europe,1,76,Uluwatu Temple,"Jl. Raya Uluwatu Southern part of Bali, Pecatu 80361 Indonesia",Douala,1,Cameroon,Religious Sites,1,2.0,3359,4.219410538850848
105326,81813,2018,4,2,737,4,Couples,5,17,135,583.0,Zurich,Switzerland,Central Europe,Europe,1,76,Tanah Lot Temple,"Kecamatan Kediri, Kabupaten Tabanan, Beraban 82121 Indonesia",Douala,1,Cameroon,Religious Sites,1,4.0,3352,4.19480906921241
6857,81522,2018,7,2,640,5,Couples,3,14,101,3013.0,Bali,Indonesia,South East Asia,Asia,1,63,Sacred Monkey Forest Sanctuary,"Jl. Monkey Forest, Ubud 80571 Indonesia",Douala,1,Cameroon,Nature & Wildlife Areas,1,5.0,13198,4.267085922109411
3856,63515,2014,9,3,640,4,Family,4,15,109,5118.0,south australia,Australia,Australia,Australia & Oceania,1,63,Sacred Monkey Forest Sanctuary,"Jl. Monkey Forest, Ubud 80571 Indonesia",Douala,1,Cameroon,Nature & Wildlife Areas,2,4.5,13198,4.267085922109411
13213,52127,2015,8,2,640,3,Couples,2,8,51,2123.0,Wisconsin,United States,Northern America,America,1,63,Sacred Monkey Forest Sanctuary,"Jl. Monkey Forest, Ubud 80571 Indonesia",Douala,1,Cameroon,Nature & Wildlife Areas,3,3.6666666666666665,13198,4.267085922109411
195623,37943,2015,2,3,975,3,Family,3,14,101,3260.0,Surabaya,Indonesia,South East Asia,Asia,2,63,Sempu Island,"Sumber Manjing Wetan, Malang 65111 Indonesia",South Region,1,Cameroon,Nature & Wildlife Areas,1,3.0,53,4.2075471698113205
146402,34958,2017,2,2,369,5,Couples,4,15,109,4101.0,Corrigin,Australia,Australia,Australia & Oceania,1,13,Kuta Beach - Bali,Kuta,Douala,1,Cameroon,Beaches,1,5.0,2765,3.415189873417721
